module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,137,arena_mode_detail_page.dart,,context.goHaptic,AppRoutePaths.arenaCreator(snapshot.creator.id),/arena/creator/<snapshot.creator.id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,140,arena_mode_detail_page.dart,,context.goHaptic,AppRoutePaths.arenaTrust(snapshot.creator.id),/arena/trust/<snapshot.creator.id>,ArenaTrustBreakdownPage (/arena/trust/:userId),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,148,arena_mode_detail_page.dart,,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,150,arena_mode_detail_page.dart,,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,173,arena_mode_detail_page.dart,,context.goHaptic,AppRoutePaths.arenaChallenge(id),/arena/challenge/<id>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,183,arena_mode_detail_page.dart,,context.goHaptic,AppRoutePaths.arenaMode(id),/arena/mode/<id>,ArenaModeDetailPage (/arena/mode/:modeId),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,188,arena_mode_detail_page.dart,,context.goHaptic,"AppRoutePaths.marketsPredictionEvent( snapshot.predictionContext.eventId, )",/markets/predictions/event/<snapshot.predictionContext.eventId>,PredictionEventDetailPage (/markets/predictions/event/:eventId),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/verified_challenges_page.dart,116,verified_challenges_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/challenge/verified_challenges_page.dart,113,verified_challenges_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_blocked_users_page.dart,135,arena_blocked_users_page.dart,,context.go,AppRoutePaths.arenaCreator(user.id),/arena/creator/<user.id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_blocked_users_page.dart,186,arena_blocked_users_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_blocked_users_page.dart,183,arena_blocked_users_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_guide_page.dart,156,arena_guide_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
