name,file_count,files
"_BenefitCard",3,"lib/features/earn_staking/presentation/widgets/staking/staking_insurance_overview.dart; lib/features/p2p_account/presentation/pages/merchant/p2p_merchant_apply_page_state.dart; lib/features/trade_copy/presentation/widgets/provider/provider_application_progress_intro.dart"
"_BenefitItem",3,"lib/features/trade_terminal/presentation/widgets/tools/advanced_tools_overview.dart; lib/features/trade_terminal/presentation/widgets/tools/execution_quality_overview.dart; lib/features/trade_terminal/presentation/widgets/tools/risk_management_overview.dart"
"_BreakdownRow",4,"lib/features/earn_savings/presentation/widgets/savings/savings_ladder_analysis.dart; lib/features/trade_bots/presentation/widgets/settings/bot_tax_reporting_reports.dart; lib/features/wallet/presentation/widgets/phone/wallet_page_balance_sections.dart; lib/features/wallet/presentation/widgets/tablet/wallet_page_balance_sections.dart"
"_BulletRow",5,"lib/features/earn_savings/presentation/widgets/savings/savings_risk_assessment_products_common.dart; lib/features/earn_staking/presentation/widgets/staking/staking_risk_assessment_page_common.dart; lib/features/onboarding/presentation/widgets/onboarding_shared_components.dart; lib/features/p2p_security/presentation/widgets/security/p2p_anti_phishing_code_page_sections.dart; lib/features/trade_bots/presentation/widgets/settings/bot_guide_blocks.dart"
"_Card",6,"lib/features/trade_bots/presentation/widgets/backtest/bot_strategy_compare_recommendations_common.dart; lib/features/trade_bots/presentation/widgets/dashboard/bot_drawdown_analyzer_page_common.dart; lib/features/trade_bots/presentation/widgets/dashboard/bot_equity_curve_analysis_painters.dart; lib/features/trade_bots/presentation/widgets/settings/bot_security_settings_common.dart; lib/features/trade_bots/presentation/widgets/settings/bot_tax_reporting_common.dart; lib/features/trade_terminal/presentation/widgets/tools/advanced_analytics_page_shared.dart"
"_CardTitle",5,"lib/features/admin/presentation/widgets/analytics_dashboard_common.dart; lib/features/admin/presentation/widgets/funnel_dashboard_common_painter.dart; lib/features/dca/presentation/pages/portfolio/dca_multi_asset_page_common.dart; lib/features/dca/presentation/widgets/portfolio/dca_performance_compare_primitives.dart; lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_fund_claims_tour.dart"
"_CategoryCard",5,"lib/features/earn_staking/presentation/pages/staking/staking_forum_page.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_notif_sound_categories.dart; lib/features/predictions/presentation/widgets/portfolio/prediction_portfolio_analyzer_overview.dart; lib/features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_summary_breakdown.dart; lib/features/trade_compliance/presentation/widgets/governance/client_categorization_overview_tab.dart"
"_CategoryFilters",3,"lib/features/markets/presentation/widgets/research/market_news_page_sections.dart; lib/features/predictions/presentation/widgets/hub/predictions_rewards_hero_filters.dart; lib/features/predictions/presentation/widgets/social/prediction_event_calendar_controls.dart"
"_CategoryTabs",3,"lib/features/earn_staking/presentation/pages/staking/staking_faq_page.dart; lib/features/predictions/presentation/widgets/hub/predictions_breaking_page_sections.dart; lib/features/trade_bots/presentation/widgets/settings/bot_faq_search_tabs.dart"
"_ChartCard",5,"lib/features/cross_module/presentation/widgets/cross_module_analytics_painters.dart; lib/features/trade_compliance/presentation/widgets/disclosures/riy_calculator_page_sections.dart; lib/features/trade_copy/presentation/widgets/provider/trader_profile_overview.dart; lib/features/wallet/presentation/widgets/tools/portfolio_analytics_overview_chart.dart; lib/features/wallet/presentation/widgets/tools/wallet_gas_optimizer_trends.dart"
"_ChecklistCard",3,"lib/features/arena/presentation/pages/governance/arena_guide_page_tips_safety_content.dart; lib/features/p2p_security/presentation/widgets/security/p2p_fraud_checklist_actions.dart; lib/features/wallet/presentation/widgets/tools/wallet_health_score_cards.dart"
"_ChecklistRow",5,"lib/features/arena/presentation/pages/studio/arena_smart_rule_builder_page_review_submit.dart; lib/features/p2p_account/presentation/pages/merchant/p2p_video_verification_page.dart; lib/features/p2p_account/presentation/widgets/merchant/p2p_address_proof_page_common.dart; lib/features/p2p_account/presentation/widgets/merchant/p2p_identity_verification_page_common.dart; lib/features/p2p_account/presentation/widgets/merchant/p2p_selfie_verification_page_common.dart"
"_CoinAvatar",4,"lib/features/dca/presentation/pages/hub/dca_page_history_and_create_sheet.dart; lib/features/markets/presentation/widgets/phone/market_list_pairs.dart; lib/features/markets/presentation/widgets/tablet/market_list_pairs.dart; lib/features/markets/presentation/widgets/tools/market_movers_row_common.dart"
"_ComparisonRow",3,"lib/features/earn_savings/presentation/widgets/hub/earn_comparison_table.dart; lib/features/markets/presentation/widgets/tools/market_sector_comparison_table.dart; lib/features/wallet/presentation/widgets/tools/wallet_gas_optimizer_current.dart"
"_CopyButton",3,"lib/features/launchpad/presentation/widgets/tools/launchpad_webhooks_common_widgets.dart; lib/features/p2p_orders/presentation/widgets/orders/p2p_order_page_common.dart; lib/features/wallet/presentation/widgets/address/wallet_address_book_list.dart"
