category,file,line,owner,sourceWidget,actionSource,trailingKind,icon,classification,canonicalAction,canonicalIcon,needsMigration,notes
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_detail_page.dart","91","_P2PDisputeDetailPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_evidence_page.dart","76","_P2PDisputeEvidencePageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_page.dart","85","_P2PDisputePageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_dispute_resolution_page.dart","77","_P2PDisputeResolutionPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_disputes_page.dart","54","P2PDisputesPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_fund_page.dart","87","_P2PInsuranceFundPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_fund_page.dart","100","_P2PInsuranceFundPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_fund_page.dart","122","_P2PInsuranceFundPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_policy_page.dart","50","P2PInsurancePolicyPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_policy_page.dart","58","P2PInsurancePolicyPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_policy_page.dart","71","P2PInsurancePolicyPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_score_page.dart","55","P2PInsuranceScorePage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_score_page.dart","63","P2PInsuranceScorePage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_score_page.dart","76","P2PInsuranceScorePage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/ads/p2p_ad_analytics_page.dart","83","P2PAdAnalyticsPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/ads/p2p_ad_detail_page.dart","71","_P2PAdDetailPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/ads/p2p_order_book_page.dart","80","_P2POrderBookPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/ads/p2p_order_book_page.dart","88","_P2POrderBookPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/ads/p2p_order_book_page.dart","102","_P2POrderBookPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/hub/p2p_dashboard_page.dart","91","_P2PDashboardPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/hub/p2p_dashboard_page.dart","99","_P2PDashboardPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/hub/p2p_dashboard_page.dart","112","_P2PDashboardPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/hub/p2p_express_confirm_page.dart","96","_P2PExpressConfirmPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/p2p_marketplace/presentation/pages/hub/p2p_express_confirm_page.dart","105","_P2PExpressConfirmPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
