cluster,file,suggested_tier,violation_type,status,batch,notes
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/hub/my_arena_page_shared_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/hub/my_arena_page_tab_content.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/studio/arena_smart_rule_builder_page_review_submit.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/studio/arena_universal_preset_library_page_demo_and_title_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/studio/arena_universal_preset_library_page_domains_suggestions_dropdowns.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/studio/arena_universal_preset_library_page_titles_and_shared_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_join_page_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_join_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_leaderboard_body.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_leaderboard_rows_footer.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_hero.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_prediction.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_quality.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_related.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_rules.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_governance_gate_field_controls.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_governance_gate_privacy_clarity.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_governance_gate_resolution_timing.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_governance_gate_setup_fields.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_governance_gate_status_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_governance_gate_suggestions_eligibility.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_governance_gate_summary_footer.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_report_case_related_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_report_case_summary_timeline.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_report_case_system_appeal.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_safety_center_page_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/arena_safety_center_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/governance/my_arena_reports_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/phone/arena_flow_map_nodes.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/phone/arena_flow_map_overview.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/phone/arena_flow_map_qa.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/phone/arena_state_cards.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/points/arena_points_entry_detail_page_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/points/arena_points_entry_detail_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/points/arena_points_ledger_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_creator_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_creator_hero_trust.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_creator_tabs.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_smart_rule_builder_page_basics_fields.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_smart_rule_builder_page_condition_timing_fields.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_studio_fee_banner.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_studio_footer.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/widgets/studio/arena_studio_steps.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/hub/market_overview_page_hero_stats_widgets.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/hub/market_overview_page_history_tools_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/hub/market_overview_page_movers_sectors_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/portfolio/advanced_charts_page_indicator_drawing_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/portfolio/advanced_charts_page_signal_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/portfolio/advanced_charts_page_tabs_filters_widgets.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/portfolio/portfolio_tracker_page_holdings_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/portfolio/portfolio_tracker_page_overview_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/portfolio/portfolio_tracker_page_performance_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/research/social_signals_page_performance_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/research/social_signals_page_signal_provider_widgets.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/research/social_signals_page_tabs_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/research/token_unlocks_page_card_analysis_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/research/token_unlocks_page_schedule_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/phone/pages/research/token_unlocks_page_upcoming_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/market_depth_chart.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/market_depth_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/market_depth_order_book.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/market_depth_whale_alerts.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/market_heatmap_panels.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/market_heatmap_summary.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/market_heatmap_treemap.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/pair_detail_chart_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/pair_detail_header_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/pair/pair_detail_order_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/phone/market_list_discover.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/phone/market_list_filters.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/phone/market_list_movers.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/phone/watchlist_cards.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/portfolio/price_alerts_page_details.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/market_news_page_common.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/market_news_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/social_sentiment_overview_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/social_sentiment_tabs_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/social_sentiment_token_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/social_sentiment_trends_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/token_info_detail_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/token_info_market_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/research/token_info_tabs_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tablet/market_list_discover.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tablet/market_list_movers.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tablet/market_list_pairs_panel.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tablet/markets_pulse_strip.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tablet/markets_status_content.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/comparison_tool_content.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/comparison_tool_tokens.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_calendar_events.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_calendar_filters.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_calendar_month.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_correlations_diversification_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_correlations_matrix_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_derivatives_liquidation.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_derivatives_overview.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_derivatives_perpetual.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_movers_results.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_movers_row_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_screener_filters.dart,A,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_screener_results.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_screener_row_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_card.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_comparison_table.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_detail_summary.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/markets/presentation/widgets/tools/market_sector_distribution.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/phone/pages/hub/predictions_home_page.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/phone/pages/portfolio/predictions_portfolio_page.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_advanced_chart_analysis.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_advanced_chart_indicators.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_advanced_chart_overview.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_chart.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_detail_tabs.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_header.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_order_book.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_quick_links.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_related_arena.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_stats_position.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_trade_controls.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_event_detail_trade_panel.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/event/prediction_order_receipt_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_breaking_page_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_breaking_page_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_home_events.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_home_highlights.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_rewards_arena_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_rewards_hero_filters.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_rewards_table.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/phone/predictions_search_page_common.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_market_maker_earnings.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_market_maker_positions.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_market_maker_provide.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_market_maker_returns.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_portfolio_analyzer_overview.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_portfolio_analyzer_performance.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_portfolio_analyzer_risk.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_portfolio_history.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_portfolio_orders.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_portfolio_positions.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_risk_calculator_analysis.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_risk_calculator_form.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/portfolio/prediction_risk_calculator_scenarios_guide.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_data_integration_common.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_data_integration_keys_webhooks.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_data_integration_sources.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_event_calendar_events.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_event_calendar_notifications.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_social_analysis_share.dart,C,-,done,0,-
