file,line,owner,sourceWidget,classification,mode,fallback,highRisk,issue,notes
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_recommendations_page.dart","102","_StakingRecommendationsPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_regulatory_framework_page.dart","67","_StakingRegulatoryFrameworkPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_regulatory_framework_page.dart","76","_StakingRegulatoryFrameworkPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_regulatory_framework_page.dart","101","_StakingRegulatoryFrameworkPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_assessment_page.dart","72","_StakingRiskAssessmentPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_assessment_page.dart","81","_StakingRiskAssessmentPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_assessment_page.dart","98","_StakingRiskAssessmentPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","yes","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_dashboard_page.dart","55","StakingRiskDashboardPage","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_dashboard_page.dart","64","StakingRiskDashboardPage","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_dashboard_page.dart","87","StakingRiskDashboardPage","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_disclosure_page.dart","89","_StakingRiskDisclosurePageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_disclosure_page.dart","98","_StakingRiskDisclosurePageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_disclosure_page.dart","122","_StakingRiskDisclosurePageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_score_calculator_page.dart","84","_StakingRiskScoreCalculatorPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_score_calculator_page.dart","93","_StakingRiskScoreCalculatorPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_score_calculator_page.dart","118","_StakingRiskScoreCalculatorPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_slashing_history_page.dart","65","_StakingSlashingHistoryPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnRiskDashboard","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_slashing_history_page.dart","74","_StakingSlashingHistoryPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnRiskDashboard","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_slashing_history_page.dart","97","_StakingSlashingHistoryPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_social_feed_page.dart","59","_StakingSocialFeedPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earn","no","-","Back goes to an explicit parent route."
