module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
wallet,wallet/presentation/widgets/address/wallet_address_book_controls.dart,VitChoicePill,chip,1,44,hug,-,pass,
wallet,wallet/presentation/widgets/address/wallet_address_book_list.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
wallet,wallet/presentation/widgets/assets/asset_detail_page_sections.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/assets/wallet_buy_crypto_input_sections.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
wallet,wallet/presentation/widgets/assets/wallet_dust_converter_targets.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/phone/wallet_page_asset_sections.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/tablet/wallet_page_asset_sections.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/tools/portfolio_analytics_overview_chart.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/tools/portfolio_analytics_summary_switcher.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/tools/wallet_gas_optimizer_current.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/tools/wallet_health_score_page_shell.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/tools/wallet_manager_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
wallet,wallet/presentation/widgets/tools/wallet_token_approval_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
wallet,wallet/presentation/widgets/transfer/deposit_page_common.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
wallet,wallet/presentation/widgets/transfer/pending_deposits_page_sections.dart,VitFilterChip,filter_accent,3,44,hug_scroll,-,review,wrapper over VitChoicePill
wallet,wallet/presentation/widgets/transfer/wallet_transfer_asset_amount.dart,VitChoicePill,chip,1,44,hug,-,pass,
