module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
trade_terminal,real_page,'/trade/advanced-chart/:pairId','/trade/advanced-chart/:pairId',AppRouteNames.sc055AdvancedChart,sc055AdvancedChart,_tabletTradeTerminalRoute,lib/app/router/route_groups/trade_terminal_routes.dart,21
trade_terminal,real_page,AppRoutePaths.tradeAdvancedTools,tradeAdvancedTools,AppRouteNames.sc062AdvancedTools,sc062AdvancedTools,_tabletTradeTerminalRoute,lib/app/router/route_groups/trade_terminal_routes.dart,57
trade_terminal,real_page,AppRoutePaths.tradeExecutionQuality,tradeExecutionQuality,AppRouteNames.sc061ExecutionQuality,sc061ExecutionQuality,_tabletTradeTerminalRoute,lib/app/router/route_groups/trade_terminal_routes.dart,47
trade_terminal,real_page,AppRoutePaths.tradeMarginAdvancedAnalytics,tradeMarginAdvancedAnalytics,AppRouteNames.sc092AdvancedAnalytics,sc092AdvancedAnalytics,_tabletTradeTerminalRoute,lib/app/router/route_groups/trade_terminal_routes.dart,77
trade_terminal,real_page,AppRoutePaths.tradeMarginAdvancedDemo,tradeMarginAdvancedDemo,AppRouteNames.sc088AdvancedTradingDemo,sc088AdvancedTradingDemo,_tabletTradeTerminalRoute,lib/app/router/route_groups/trade_terminal_routes.dart,67
trade_terminal,real_page,AppRoutePaths.tradeRiskManagement,tradeRiskManagement,AppRouteNames.sc060RiskManagement,sc060RiskManagement,_tabletTradeTerminalRoute,lib/app/router/route_groups/trade_terminal_routes.dart,35
